D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D20
0.343522069931327,-0.691778632942729,0.857658365070213,-0.970027190815509,0.857658365070213,-0.691778632942731,0.343522069931322,-0.020027190815508,-0.38357645156234,0.651724251311714,-0.897712746701231,0.929972809184491,-0.89771274670123,0.651724251311704,-0.383576451562351,-0.02002719081551,0.343522069931335,-0.691778632942722,0.857658365070214,-0.970027190815509
0.334295665608056,-0.67905255036019,0.845979493565759,-0.969887140370522,0.873847305982033,-0.730752466461303,0.402340703649358,-0.095155696883285,-0.305301569088284,0.582054064013634,-0.854007921719518,0.922795478165344,-0.937439544637805,0.736835065142235,-0.509017162925392,0.127993185846377,0.192074089523747,-0.563818118158076,0.774420009701161,-0.952365572324907
0.326062578976551,-0.665045104164938,0.834576473940968,-0.967255862955114,0.888908923036955,-0.766235480245349,0.460190108800434,-0.168797137696855,-0.223778091320442,0.507607325459989,-0.799565767257884,0.903567028469151,-0.961225269330039,0.808686810810504,-0.622858015864092,0.273381748747546,0.035742867559996,-0.417911146569203,0.664626520959149,-0.897869951794373
0.31879907190389,-0.649786100328225,0.823435000835004,-0.962161318419686,0.902783406222309,-0.798127655661742,0.516774664791755,-0.240519379975607,-0.139663237517736,0.429080615672205,-0.735040092176294,0.872535484813857,-0.968700502823867,0.865907903708353,-0.722649853399697,0.412544690440047,-0.121139624203119,-0.25861328247693,0.532077536407693,-0.808642415999941
0.312441137006674,-0.633345713130623,0.812501139502212,-0.954673990782328,0.915375949166121,-0.826378223353331,0.571769184627384,-0.309936211873135,-0.05366689218807,0.347179193529906,-0.661230775473252,0.830086130762008,-0.959785101324129,0.907381357160839,-0.806266198904356,0.542025922460883,-0.274238494588733,-0.090906208158416,0.381356683443635,-0.688121509344193
0.306887174804593,-0.615831805873484,0.801683993582242,-0.944904202301089,0.926559498548522,-0.850983387048952,0.624822821186641,-0.376707446664839,0.03345610469301,0.262612257473742,-0.579072525185851,0.776737945769409,-0.93468787645284,0.932267304420566,-0.871948014385278,0.65859325620918,-0.419335524676755,0.079958097395027,0.217672984990122,-0.540949907286678
0.302002174101076,-0.59738574832688,0.79085987554794,-0.932997920860329,0.936178993856051,-0.871982511616357,0.675564420385224,-0.440537471235088,0.12091522811532,0.176089309432813,-0.48962100119164,0.713139170837508,-0.893900684503409,0.940021087946154,-0.918339815428122,0.759319648173644,-0.552445058698739,0.248621930889256,0.04668076698615,-0.372795757229418
0.297623225467713,-0.578176901038109,0.779877809716421,-0.91913123081318,0.944056927212701,-0.889452944203071,0.723609145559911,-0.501172392662345,0.207894889283337,0.0883175271309,-0.394036585012554,0.640061952074101,-0.838187121959904,0.930406483503191,-0.944516440648746,0.841657441796718,-0.669923027485786,0.409790022457417,-0.125715709387388,-0.190134562097592
0.293566144656201,-0.55839598967786,0.768566144656205,-0.903503690480405,0.949999999999997,-0.90350369048039,0.768566144656181,-0.558395989677822,0.29356614465615,4.36233849837468E-14,-0.293566144656246,0.558395989677892,-0.768566144656243,0.903503690480409,-0.950000000000003,0.903503690480369,-0.768566144656153,0.558395989677767,-0.293566144656125,-9.74342879748262E-14
0.289632938717701,-0.538247636644988,0.756740007779889,-0.886330843555115,0.953806608966167,-0.914268212170987,0.810046988071756,-0.612024720342391,0.377099185880568,-0.08816535774178,-0.189523197002713,0.469141104993413,-0.686291036514139,0.859711795420894,-0.934766758895301,0.94325484913662,-0.845698602028972,0.689761842438962,-0.451079590717224,0.190286731486474
